is_fraud,amount,hour,transaction_type,account_age,location_mismatch,previous_fraud_flag
0,23.39,21,payment,1626,0,0
1,20.24,1,cash_withdrawal,993,0,0
0,9.69,3,cash_withdrawal,1792,0,0
0,46.73,12,cash_withdrawal,929,0,0
0,32.37,12,cash_withdrawal,921,0,0
0,100.38,22,payment,308,0,0
0,1.63,21,cash_withdrawal,657,0,0
0,51.62,22,purchase,1331,0,0
0,71.97,16,cash_withdrawal,470,0,0
0,71.25,5,cash_withdrawal,1208,0,0
0,108.61,10,transfer,1655,0,0
1,65.29,18,transfer,625,0,0
0,131.42,15,transfer,291,0,0
0,20.22,7,cash_withdrawal,249,0,0
0,34.98,0,purchase,324,0,0
0,0.71,9,purchase,1467,0,0
0,0.35,1,transfer,604,0,0
0,13.73,18,transfer,59,0,0
0,5.31,13,cash_withdrawal,1021,0,0
0,15.07,2,purchase,269,0,0
0,9.74,22,purchase,1342,0,0
0,1.45,23,transfer,94,0,0
0,120.01,8,purchase,1278,0,0
0,0.41,22,transfer,687,0,0
0,66.61,7,transfer,1484,0,0
0,8.25,10,payment,515,0,0
0,121.65,14,payment,533,0,0
0,111.65,5,cash_withdrawal,1128,0,0
0,53.05,1,transfer,402,0,0
0,55.77,0,cash_withdrawal,1805,0,0
0,0.27,2,payment,967,0,0
0,209.56,22,purchase,1357,0,0
0,105.12,17,payment,721,0,0
0,112.74,13,payment,877,0,0
1,53.83,16,payment,608,0,0
0,21.14,1,purchase,93,1,0
0,112.05,18,payment,1581,0,0
0,17.23,21,transfer,574,0,0
0,41.36,8,transfer,1566,0,0
0,5.25,7,payment,971,0,0
0,127.52,9,cash_withdrawal,1806,0,0
0,7.59,8,cash_withdrawal,437,0,0
0,12.74,7,purchase,1034,0,0
0,40.84,6,purchase,456,0,0
0,72.22,21,transfer,415,0,0
0,48.29,23,transfer,1542,0,0
0,13.21,5,payment,1399,0,0
0,0.05,1,cash_withdrawal,1555,0,0
0,70.77,8,transfer,1548,0,0
0,210.68,8,cash_withdrawal,1397,0,0
1,83.01,18,purchase,704,0,0
0,30.83,8,purchase,1639,0,0
0,117.05,1,payment,882,0,0
0,26.37,18,payment,762,0,0
0,37.22,15,transfer,1780,0,0
0,32.42,21,cash_withdrawal,1463,0,0
0,29.68,13,transfer,1219,0,0
0,74.63,19,transfer,265,0,0
0,37.41,23,cash_withdrawal,507,0,0
0,19.04,0,transfer,646,0,0
0,14.93,12,payment,897,0,0
0,1.92,21,cash_withdrawal,1450,0,0
0,43.76,1,cash_withdrawal,861,0,0
0,13.07,21,transfer,689,0,0
0,8.02,13,cash_withdrawal,867,0,0
0,53.04,0,payment,1123,0,0
0,57.16,14,payment,1054,0,0
0,69.75,17,purchase,1315,0,0
0,35.02,8,purchase,1599,0,0
1,112.24,21,purchase,487,0,0
0,137.71,7,purchase,1430,0,0
0,82.35,6,transfer,28,0,0
0,50.47,8,purchase,1170,0,0
0,18.1,8,purchase,288,0,0
0,203.57,10,purchase,581,0,0
0,16.02,3,purchase,950,0,0
0,11.32,6,transfer,252,0,0
0,29.18,20,purchase,1186,0,0
0,2.93,6,cash_withdrawal,927,0,0
0,191.97,3,payment,110,0,0
0,44.39,11,cash_withdrawal,644,0,0
0,40.7,16,transfer,398,0,0
0,53.33,19,transfer,1295,0,0
0,34.36,2,transfer,1212,0,0
0,1.63,8,payment,1556,0,0
0,47.38,4,purchase,276,0,0
0,62.97,19,transfer,689,0,0
0,26.96,15,purchase,1635,0,0
0,70.8,7,transfer,247,0,0
0,12.87,20,payment,1348,0,0
0,12.5,15,cash_withdrawal,1042,0,0
0,8.8,18,cash_withdrawal,408,0,0
0,23.26,15,payment,1435,0,0
0,93.87,17,purchase,125,0,0
0,87.99,14,transfer,1344,0,0
0,24.13,23,cash_withdrawal,153,0,0
0,44.47,17,payment,1605,0,0
0,63.79,13,purchase,658,0,0
0,13.8,23,cash_withdrawal,1581,0,0
0,9.2,15,payment,20,0,0
0,178.95,4,transfer,247,0,0
0,48.06,7,payment,1414,0,0
0,199.27,15,purchase,1371,0,0
0,20.61,20,cash_withdrawal,1500,0,0
0,60.71,0,transfer,1227,0,0
0,12.59,10,purchase,1033,0,0
0,15.14,10,payment,1716,0,0
0,35.86,1,cash_withdrawal,1692,1,0
0,19.26,21,cash_withdrawal,531,0,0
0,9.17,18,purchase,103,0,0
0,15.25,23,transfer,1270,0,0
0,1.82,4,purchase,597,0,0
0,60.94,2,cash_withdrawal,1343,0,0
0,33.88,22,cash_withdrawal,351,0,0
0,4.95,7,cash_withdrawal,234,0,0
0,9.42,3,transfer,1671,0,0
0,5.41,12,cash_withdrawal,37,0,1
0,47.41,21,cash_withdrawal,1369,0,0
0,4.95,13,purchase,1628,0,0
0,70.18,0,cash_withdrawal,292,0,0
0,1.04,4,payment,17,0,0
0,14.34,20,purchase,90,0,0
0,110.67,6,cash_withdrawal,1372,0,0
0,63.39,22,purchase,677,0,0
0,3.79,5,purchase,977,0,0
0,86.05,14,payment,1468,0,0
0,33.97,14,purchase,253,0,0
0,93.8,7,purchase,817,0,0
0,45.91,1,transfer,1617,0,0
0,57.26,13,cash_withdrawal,184,0,0
0,251.81,15,transfer,290,0,0
0,13.22,22,cash_withdrawal,761,0,0
0,48.9,9,purchase,1239,0,0
0,30.84,14,cash_withdrawal,158,0,0
0,2.01,22,purchase,923,0,0
0,0.73,3,cash_withdrawal,691,0,0
0,6.35,11,purchase,393,0,0
0,52.36,9,cash_withdrawal,1044,0,0
0,41.87,1,cash_withdrawal,1495,0,0
1,40.31,3,cash_withdrawal,431,0,0
1,1.62,19,purchase,1683,0,0
0,31.68,5,cash_withdrawal,997,0,0
0,129.26,13,purchase,1005,0,0
0,25.34,22,transfer,1092,0,0
0,49.03,2,cash_withdrawal,1101,0,0
0,75.67,14,payment,102,0,0
0,76.61,0,payment,652,0,0
0,36.62,18,purchase,893,0,0
0,97.58,0,payment,585,0,0
0,24.83,12,purchase,207,0,0
0,109.77,7,purchase,213,0,0
0,13.74,17,payment,79,0,0
0,16.44,21,payment,1137,0,0
0,2.73,2,transfer,1789,0,0
1,79.38,22,purchase,133,0,0
0,26.98,17,payment,1221,0,0
0,13.01,19,transfer,1049,0,0
0,13.18,8,transfer,472,0,0
0,115.83,5,purchase,1637,0,0
0,89.76,19,cash_withdrawal,1781,0,0
0,40.32,1,payment,1567,0,0
0,47.87,3,payment,290,0,0
0,32.15,17,payment,1280,0,0
0,24.85,6,payment,1230,0,0
0,123.54,10,payment,1499,0,0
0,6.71,4,payment,1007,0,0
0,27.1,7,transfer,1092,0,0
0,21.12,10,purchase,1239,1,0
0,34.47,23,transfer,634,0,0
0,30.59,19,payment,422,0,0
0,36.58,19,purchase,558,0,0
0,7.54,14,payment,581,0,0
0,35.99,23,purchase,539,0,0
0,13.88,2,transfer,1707,0,0
0,10.19,6,purchase,1781,0,0
0,3.35,23,transfer,462,0,0
0,71.91,7,payment,1479,0,0
0,27.88,10,purchase,1006,0,0
0,49.26,9,cash_withdrawal,301,0,0
0,65.02,19,cash_withdrawal,1810,0,0
0,56.87,8,transfer,1312,0,0
0,31.79,14,transfer,1785,0,0
0,24.54,19,transfer,1026,0,0
0,23.58,23,transfer,1044,1,0
0,51.09,21,payment,1501,0,0
0,34.14,4,cash_withdrawal,954,0,0
0,94.57,14,transfer,1515,0,0
0,103.85,3,purchase,986,0,0
0,9.35,4,purchase,806,0,0
0,7.32,14,payment,257,0,0
0,49.77,16,transfer,453,0,0
0,17.92,22,purchase,438,0,0
0,0.94,7,transfer,1785,0,0
0,109.75,18,purchase,398,0,0
0,12.87,8,payment,1177,0,0
0,132.45,9,purchase,649,0,0
0,63.19,4,transfer,222,0,0
0,71.91,9,transfer,1747,0,0
0,11.25,21,payment,1725,0,0
0,13.34,0,cash_withdrawal,1460,0,0
0,36.83,21,transfer,1768,0,0
0,9.44,23,cash_withdrawal,136,0,0
0,18.22,3,transfer,1552,0,0
0,19.39,20,payment,626,0,0
0,8.7,4,purchase,776,0,0
0,11.48,22,cash_withdrawal,1303,0,0
0,77.69,6,purchase,585,0,0
0,9.15,22,payment,1760,0,0
0,1.44,4,payment,485,0,0
0,49.63,19,payment,1570,0,0
0,186.45,7,transfer,1269,0,0
0,20.11,16,transfer,1774,0,0
0,6.32,0,transfer,1042,0,0
0,42.24,21,transfer,877,0,0
0,118.41,17,cash_withdrawal,1580,0,0
0,76.64,11,payment,1167,0,0
0,48.71,2,cash_withdrawal,501,0,0
0,18.92,19,transfer,1551,0,0
0,39.03,13,purchase,93,0,0
0,4.78,15,cash_withdrawal,1407,0,0
0,56.81,17,purchase,279,0,0
0,64.57,9,transfer,1751,0,0
0,167.67,22,cash_withdrawal,1473,0,0
0,15.08,14,cash_withdrawal,1785,0,0
0,0.93,9,cash_withdrawal,982,0,0
0,39.44,0,purchase,1607,0,0
1,61.34,18,transfer,621,0,0
0,78.13,1,payment,1312,0,0
0,10.77,12,payment,476,0,0
0,15.17,15,transfer,882,0,0
0,35.93,7,cash_withdrawal,672,0,0
0,20.07,2,payment,801,0,0
0,98.49,20,cash_withdrawal,171,0,0
0,32.1,18,transfer,1549,0,0
0,80.37,13,purchase,372,0,0
0,43.45,10,cash_withdrawal,732,0,0
0,74.16,11,purchase,1417,0,0
0,20.22,10,purchase,185,0,0
0,89.02,10,transfer,1534,0,0
0,16.05,21,transfer,1456,1,0
0,39.49,20,purchase,939,0,0
1,12.04,17,purchase,835,0,0
0,32.27,9,payment,209,0,0
0,19.15,15,payment,994,0,0
0,15.51,7,transfer,800,0,0
0,170.54,5,cash_withdrawal,1353,0,1
0,8.72,18,purchase,1385,0,1
1,77.4,12,cash_withdrawal,1468,0,0
1,207.28,14,purchase,1465,0,0
0,1.01,12,transfer,369,0,0
0,60.04,0,cash_withdrawal,1130,0,0
0,14.58,20,transfer,724,0,0
0,2.07,1,purchase,1349,0,0
0,25.78,12,transfer,1256,0,0
0,136.84,1,cash_withdrawal,1005,0,0
0,0.59,10,payment,1749,0,0
0,44.32,12,transfer,837,0,0
0,34.8,9,cash_withdrawal,1732,0,0
0,103.33,22,transfer,1273,0,0
0,4.39,21,transfer,1341,0,0
0,57.21,14,payment,264,0,0
1,56.99,0,cash_withdrawal,1753,0,0
0,55.29,13,cash_withdrawal,1527,0,0
0,142.65,9,cash_withdrawal,1287,0,0
0,86.61,17,purchase,682,0,0
0,2.14,10,transfer,1440,0,0
0,31.85,6,payment,913,0,0
0,25.37,14,cash_withdrawal,1692,0,0
0,18.56,2,payment,70,0,0
0,30.01,1,purchase,1258,0,0
0,24.24,21,purchase,432,0,0
0,28.31,7,payment,1078,0,0
0,193.79,7,cash_withdrawal,170,0,0
0,4.64,10,payment,36,0,0
0,127.7,15,cash_withdrawal,259,0,0
0,32.72,1,cash_withdrawal,251,0,0
0,48.87,21,purchase,13,0,0
0,88.65,4,payment,671,0,0
0,22.35,6,purchase,541,0,0
0,28.14,19,transfer,57,0,0
0,26.34,12,purchase,1004,0,0
0,23.48,1,cash_withdrawal,1185,0,0
0,129.87,2,payment,437,0,0
0,88.28,8,transfer,778,0,0
0,5.77,9,transfer,230,0,0
0,5.72,23,transfer,831,0,0
0,27.92,12,transfer,841,0,0
